Party,Label,Percentage
DIE_LINKE,Bildung,32.54
DIE_LINKE,Wirtschaft,51.0
DIE_LINKE,Gesundheit,0.14
DIE_LINKE,Umwelt,16.31
FDP,Bildung,37.11
FDP,Wirtschaft,46.57
FDP,Gesundheit,0.05
FDP,Umwelt,16.27
DIE_GRUENEN,Bildung,36.43
DIE_GRUENEN,Wirtschaft,48.22
DIE_GRUENEN,Gesundheit,0.03
DIE_GRUENEN,Umwelt,15.33
AFD,Bildung,38.77
AFD,Wirtschaft,48.47
AFD,Gesundheit,0.76
AFD,Umwelt,12.0
CDU-CSU,Bildung,36.45
CDU-CSU,Wirtschaft,49.24
CDU-CSU,Gesundheit,0.46
CDU-CSU,Umwelt,13.85
SPD,Bildung,35.14
SPD,Wirtschaft,48.93
SPD,Gesundheit,0.87
SPD,Umwelt,15.06
