Section,Sentiment,Score
"Wahlprogramm zur Bundestagswahl 2021 Zeit zu handel n! Für soziale Sicherheit , Frieden und Klimagerechtigkeit Einführung Es kommt auf uns alle an",neutral,0.9985690116882324
"Es kommt auf dich an Die Bundestagswahl entscheidet darüber, wie unser aller Weg in den nächsten Jahren aussehen wird",neutral,0.9970254302024841
"Wir treten dafür an, dass deine Sorgen, Wünsche und Träume in diesem Land endlich ernst genommen werden",neutral,0.9998624324798584
"Wir stehen für eine Politik der Verlässlichkeit und der Ehrlichkeit, aber auch des Mutes – wir wollen verändern",neutral,0.9993195533752441
"Die Coronakrise hat die Ungerechtigkeiten des Kapitalismus deutlich zutage treten lassen: während die einen um ihren Arbeitsplatz, die Bildung ihrer Kinder und die Gesundheit bangen mussten, steigerten große Konzerne ihre Gewinne",neutral,0.9999879598617554
"Wir ﬁnden uns nicht mit diesen Verhältnissen ab und sind bereit, uns mit den Proﬁteurinnen anzulegen",neutral,0.975553035736084
Wir alle können gemeinsam Deutschland demo kratischer und sozial gerechter machen,neutral,0.9907276630401611
Wir haben es zusammen in der Hand,neutral,0.9661164879798889
"Unsere Wirtschaft muss in Deutschland, Europa und weltweit sozialer, demokratischer und umweltgerechter umgestaltet werden",neutral,0.9999854564666748
"Unsere Demokratie wird nur dann stärker, wenn alle Menschen an ihr teilhaben können",neutral,0.9997877478599548
"Unsere Zukunft kann nur dann eine solidarische sein, wenn wir anfangen, sie im Hier und Heute zu gestalten",neutral,0.9916924238204956
Darum geht es bei dieser Wahl,neutral,0.998719334602356
Dafür kommt es auf eine starke LINKE an,neutral,0.9999765157699585
Du hast die Wahl,neutral,0.9553924798965454
"In unserem Programm zeigen wir, welche Vorschläge wir haben",neutral,0.995079755783081
"Wir laden dich ein, an der Veränderung mitzuwirken",neutral,0.9974011182785034
Und es ist ein Versprechen an dich: DIE LINKE macht den Unterschied,neutral,0.992559552192688
"Wir haben den Mut, die notwendigen Veränderungen zu wagen",neutral,0.9925988912582397
"Für mehr Gerechtigkeit, für Frieden und eine sichere Zukunft",neutral,0.9977795481681824
Für dich,negative,0.5854182243347168
Mit dir,positive,0.8574694991111755
Wir lassen niemanden zurück Wir lassen niemanden zurück,neutral,0.9751760959625244
Es geht um die Verwirklichung der sozialen und demokratischen Grundrechte und der Menschenwürde aller,neutral,0.9999909400939941
"Es geht um alle Menschen, um ihre Träume und ihr Recht auf ein gutes Leben, um die Verwirklichung des alten Menschheitstraums einer Welt des Friedens und der sozialen Gerechtigkeit, für den so viele gekämpft haben und kämpfen",neutral,0.9999862909317017
"Wir wollen Sicherheit und Zukunft für alle unsere Mitmenschen, denen angst und bange wird, wenn sie an den Lohn, die Miete, die Stromrechnung oder an das Alter denken",neutral,0.9901629686355591
"Wir wollen Vertrauen und soziale Sicherheit für alle, die seit langem übersehen, missachtet und verletzt werden, weil ihre Sorgen und Nöte zu wenig zählen",neutral,0.98117595911026
"Wir bestehen darauf, dass sich die Dinge ändern, weil sie geändert werden können",neutral,0.999862551689148
Wir lassen niemanden zurück bei der Überwindung der Coronakrise,neutral,0.9949672818183899
Wir wollen die Gesellschaft und die Demokratie krisensicherer machen,neutral,0.9920456409454346
Es geht uns um Gerechtigkeit und Geborgenheit,neutral,0.9906572103500366
Menschen brauchen wieder Anerkennung und sozialen Halt,neutral,0.9976366758346558
"Im Alltag, bei der Arbeit, in der Kommune und in der Kultur! Wir lassen niemanden zurück beim Umsteuern gegen die Klimakatastrophe",neutral,0.994937539100647
"Der Klimawandel weist unverändert und beschleunigt darauf hin, dass die kapitalistische Wirtschaftsweise mit Ressourcenverbrauch und Schadstoffemissionen, mit nachhaltiger Erwärmung des Weltklimas, mit unheilbarer Gefährdung der Artenvielfalt und der gesamten Biosphäre verbunden ist, die schon kurzfristig das Leben auf der Erde gefährden können",neutral,0.9999915361404419
"Wir wollen eine Gesellschaft, die für eine Wende zum Besseren – sozial und solidarisch – gerüstet ist",neutral,0.9976969361305237
"Denn Wandel braucht Hoffnung, dass er gelingen kann, dass alle mitmachen können und sich niemand ausgeschlossen fühlt",neutral,0.9999908208847046
Veränderung braucht soziale Sicherheit in einer friedlichen Welt,neutral,0.9997419714927673
Veränderung braucht aber auch Vertrauen,neutral,0.9864615797996521
Dafür werben wir,neutral,0.9932212829589844
Solidarisch schaffen wir es,neutral,0.9842342734336853
Was uns bewegt Seit über einem Jahr beherrscht die Coronakrise unseren Alltag,neutral,0.9932859539985657
Die Menschen machen sich Sorgen um ihre Liebsten und deren Gesundheit,neutral,0.999984622001648
"Die Pandemie trifft zwar alle, aber sie trifft nicht alle gleichermaßen",neutral,0.9996795654296875
Millionen von Menschen arbeiten hart und viel – und bekommen wenig dafür,neutral,0.9991735816001892
Das gilt im Besonderen in der Coronakrise,neutral,0.9999892711639404
"Von Armut bedrohte Menschen tragen ein höheres Risiko, Einkommen zu verlieren oder krank zu werden",neutral,0.9999891519546509
Noch schneller als zuvor ist die soziale Ungleichheit zwischen dem globalen Norden und Süden verschärft worden,neutral,0.9999915361404419
