Section,Sentiment,Score
Wahlprogramm  ,neutral,0.6932305097579956
zur Bundestagswahl 2021 Zeit zu handel n! ,neutral,0.9999728202819824
" Für soziale  Sicherheit ,  ",neutral,0.8867380023002625
 Frieden und   ,neutral,0.9977662563323975
 Klimagerechtigkeit  Wahlprogramm der Partei DIE LINKE  ,neutral,0.9915440082550049
zur Bundestagswahl 2021,neutral,0.9998860359191895
Beschlossen auf dem Bundesparteitag am 19. und 20. Juni 2021Einführung  ....................................... 7,neutral,0.9999510049819946
Es kommt auf uns alle an.  ,neutral,0.5144999027252197
Es kommt auf dich an  ........................... 7,neutral,0.9452752470970154
Wir lassen niemanden zurück  ...................... 7,neutral,0.9509589076042175
Was uns bewegt  ................................... 7,positive,0.9294121265411377
"Eine neue Politik für alle,  ",neutral,0.9970546960830688
die sie längst verdient haben  ...................... 9,neutral,0.9800445437431335
Mut zur Veränderung  ............................ 13,neutral,0.982736349105835
"Gute Arbeit, gute Löhne –  ",positive,0.9899803996086121
Demokratie gilt auch im Betrieb!  ........... 15,neutral,0.9999880790710449
"Löhne, die für ein gutes Leben reichen.  ",neutral,0.9952882528305054
Schluss mit dem Niedriglohn  .................... 16,neutral,0.9958174824714661
"Arbeitszeiten, die zum Leben passen  ............ 17",neutral,0.9997268319129944
"Gute Arbeitsbedingungen,  ",positive,0.992281973361969
weniger Belastungen  ............................. 18,positive,0.6146854758262634
Kein Umbau auf dem Rücken  ,negative,0.9507579803466797
der Beschäftigten:   ,neutral,0.985923171043396
Weiterbildungs  anspruch für alle  ................. 19,neutral,0.999700665473938
Gleiche Rechte für Saisonbeschäftigte  ,neutral,0.6737245321273804
und Beschäftigte in Privathaushalten  ............ 20,neutral,0.9999809265136719
"Union Busting stoppen,  ",negative,0.9881430268287659
"Gegenwehr stärken,  ",negative,0.5381273031234741
Mitbestimmung ausweiten  ....................... 21,neutral,0.9739370942115784
Gewerkschaften stärken  ......................... 21,neutral,0.9422131180763245
"Gute Rente, gutes Leben: Solidarische  ",neutral,0.87592613697052
Erwerbstätigenversicherung  ................ 22,neutral,0.9960147142410278
Soziale Sicherheit für alle  .................... 25,neutral,0.9491374492645264
Soziale Rechte:  ,negative,0.9967626333236694
Eine gerechte  Ver sicherung  ,neutral,0.9954900145530701
gegen Erwerbslosigkeit  .......................... 25,negative,0.9655764102935791
Bedarfsdeckende und sanktionsfreie  ,neutral,0.7205395102500916
individuelle Mindestsicherung  ................... 26,neutral,0.9737482070922852
Sofortmaßnahmen: Erhöhung  ,positive,0.8319123387336731
der Regelsätze und Abschaffung  ,neutral,0.9999496936798096
der Sanktionen  .................................. 27,neutral,0.9990726709365845
Kinderarmut überwinden:   ,negative,0.6764560341835022
Kindergrundsicherung  ........................... 28,neutral,0.9811065196990967
"Familien dort unterstützen,  ",neutral,0.9686967730522156
wo sie es brauchen  .............................. 29,positive,0.954239547252655
Selbstbestimmt im Alter  ......................... 30,neutral,0.7161243557929993
Pflegenotstand stoppen!  ,negative,0.9602251052856445
Systemwechsel in  Gesundheit  ,neutral,0.9993425011634827
und Pflege  ...................................... 31,neutral,0.9723250269889832
Eine neue solidarische ,neutral,0.9959530830383301
 Gesundheits  versicherung!  .................. 33Eine solidarische  ,neutral,0.9964969754219055
Pflege-vollversicherung   .......................... 33,neutral,0.9926238059997559
Pflegende Angehörige entlasten!  ................ 34,neutral,0.9995580315589905
Öffentlichen Gesundheitsdienst  ,neutral,0.9893288016319275
stärken!  .......................................... 35,positive,0.8188262581825256
Gesundheitliche Ungleichheit  ,neutral,0.9899706244468689
 bekämpfen!  ...................................... 36,positive,0.9174751043319702
Ambulanter Bereich:  ,positive,0.9603321552276611
"Gute Versorgung vor Ort,  ",positive,0.9989094734191895
in Stadt und Land  ................................ 37,neutral,0.9988963603973389
Die Macht der Pharmaindustrie  brechen! ,neutral,0.9999372959136963
 Gesundheitsforschung  ,neutral,0.9955652356147766
demokratisieren!  ................................. 38,negative,0.9386325478553772
Keine Profite  ,negative,0.9568462371826172
mit Miete und Boden:  ,neutral,0.4626450538635254
Zuhause für alle!  ............................... 39,positive,0.36482879519462585
Mietenwahnsinn und Verdrängung stoppen.  ,negative,0.8002264499664307
Hohe Mieten senken und gemeinnützige ,neutral,0.9999184608459473
 Wohnungswirtschaft aufbauen. Spekulation  ,neutral,0.9998409748077393
mit Grund und Boden beenden.  .................. 39,neutral,0.9999446868896484
Mieten deckeln bundesweit!  ..................... 40,neutral,0.9976150989532471
Sozialen und gemeinnützigen  ,neutral,0.9993020296096802
 Wohnungsbau schaffen!  ......................... 40,neutral,0.9957245588302612
Wohnen ist keine Ware.  ,neutral,0.9687137603759766
Rechte von Mieter*innen stärken!  ................ 41,negative,0.9962943196296692
Klimagerechtigkeit statt  ,negative,0.8899417519569397
Verdrängung!  .................................... 42,negative,0.9783430695533752
Spekulation stoppen –  ,neutral,0.9775508046150208
Gewinne abschöpfen!  ............................ 43,negative,0.901549220085144
Immobilienkonzerne  ,neutral,0.9992615580558777
an die Kette legen!  ............................... 44,neutral,0.9997119307518005
Wohnen ist ein Grundrecht  –   ,neutral,0.9997325539588928
Wohnungen zuerst!  .............................. 44,neutral,0.9998699426651001
Städte zukunftsfest machen  –  ,neutral,0.9735788106918335
Leben in die Dörfer bringen!  ..................... 45,neutral,0.9999673366546631
"Gute Bildung: Gerecht,  ",positive,0.9922361969947815
"gebührenfrei,  ",negative,0.9636823534965515
ein Leben lang  ................................. 46,neutral,0.9576094746589661
Gute Kitas  ........................................ 47,positive,0.9809870719909668
Eine Schule für alle: inklusiv  ..................... 48,neutral,0.9842554926872253
Gut ausgebildet  .................................. 50,positive,0.991891622543335
Gute Weiterbildung  ............................... 51,positive,0.9937058091163635
"Gutes Studium, gute Arbeits  bedingungen,  ",positive,0.9900897741317749
gute Forschung   .................................. 52,positive,0.9926602244377136
Gute Wissenschaft  ,positive,0.9702262282371521
braucht Gute Arbeit  ............................. 53InhaltInvestitionen in die  ,neutral,0.6441595554351807
soziale  Infra struktur   ............................. 54,neutral,0.9874442219734192
Transparente Forschung  ,neutral,0.9979445338249207
und  gesellschaftliche Verantwortung: ........... 55,neutral,0.994872510433197
Klimaschutz sozial gerecht: Für einen ,positive,0.974032461643219
sozialökologischen  Systemwechsel  ........ 56,neutral,0.9992871880531311
Die ökologische Krise ist die große   ,neutral,0.9999912977218628
Überlebensfrage des 21. Jahrhunderts.     ,neutral,0.9999173879623413
Gleichzeitig ist sie eine Klassenfrage  . ........... 56,neutral,0.999987006187439
Den ökologischen Umbau planen  ................. 56,neutral,0.9999785423278809
Sozialökologische  ,neutral,0.9887139201164246
Investitionsoffensive   ............................. 57,neutral,0.9514657258987427
"Investieren in gut bezahlte,  ",neutral,0.4886969327926636
 klimaneutrale Jobs  und die Infra  struktur  ,neutral,0.9869556427001953
für ein besseres Leben  ........................... 58,negative,0.7767559885978699
Arbeitsplatz- und Einkommens  garantien:  ,neutral,0.9988142251968384
 Einstieg in ein neues Wohlstandsmodell  ......... 59,neutral,0.9999068975448608
Industriearbeitsplätze  ,neutral,0.9989473223686218
mit Zukunft schaffen  ............................. 60,neutral,0.9389073848724365
Demokratie in der Wirtschaft.  ,neutral,0.999346911907196
 Genossenschaften und  ,positive,0.9641827940940857
solidarische Ökonomie fördern  ................... 61,neutral,0.9998194575309753
Gerechte Mobilität:  ,positive,0.9095779657363892
Ökologisch und bezahlbar  ,neutral,0.9700342416763306
für alle  – mit guten Arbeitsplätzen  .......... 62,neutral,0.9729377627372742
Mobilität für alle –  ,positive,0.9658210873603821
mit weniger  Verkehr  ............................. 62,neutral,0.9879941940307617
Bahn für alle! Soziale und ökologische ,neutral,0.9969010353088379
 Verkehrsplanung  ................................. 63,neutral,0.9687882661819458
Automobilindustrie  ,neutral,0.9699468016624451
sozial und  ökologisch umbauen  .................. 65,neutral,0.9989733695983887
Flugverkehr reduzieren  .......................... 65,neutral,0.9788065552711487
Güterverkehr verringern  ,neutral,0.997370719909668
und auf die Schiene bringen  ..................... 66,neutral,0.9978567957878113
Klimagerechtigkeit  ,positive,0.9392336010932922
und Energiewende  ............................ 67,neutral,0.9962157607078552
"Raus aus der Kohle,  ",negative,0.9986172914505005
Übergänge  gerecht gestalten   .................... 68,neutral,0.9541797041893005
"In erneuerbare Energie investieren, ",neutral,0.9954866766929626
 Energiekonzerne entmachten  .................... 69,neutral,0.9998383522033691
"Strompreise stärker kontrollieren,  ",negative,0.39774444699287415
Energie für alle bezahlbar machen  ............... 71,positive,0.41327521204948425
Grüner Wasserstoff  ,neutral,0.7100244760513306
in der Energiewende   ............................. 71,neutral,0.9996840953826904
Für eine nachhaltige Landwirtschaft.  ,neutral,0.9999890327453613
Gesunde Nahrungsmittel für alle  ........... 72,neutral,0.9709597826004028
"Biologische Vielfalt,  ",neutral,0.9749435186386108
Tiere und  Ressourcen schützen  ............. 74Tiere wirksam schützen:  ,neutral,0.9999717473983765
Tierschutz als Staatsziel  ......................... 75,neutral,0.999158501625061
Böden und Meere schützen  ....................... 76,neutral,0.9811617136001587
There is no planet B:  ,negative,0.9909378290176392
Ressourcen im Kreislauf führen  ................. 77,neutral,0.999936580657959
Mehr Rechte für Verbraucher*innen  ....... 78,negative,0.9868992567062378
Verbraucher *innenschutz  ,negative,0.7172695398330688
bei Finanzprodukten!   ............................ 79,neutral,0.968966543674469
Selbstbewusster Osten –  ,neutral,0.9633923768997192
Ostdeutsche  Interessen stärken  ............ 79,neutral,0.9957616925239563
Gleicher Lohn für gleiche Arbeit –  ,neutral,0.9803594946861267
Was sonst?  ....................................... 80,negative,0.779212236404419
Lebensleistung Ost anerkennen  –  ,neutral,0.9991658926010132
 Gleiche Rente für gleiche  ,negative,0.9827890992164612
Lebensleistung  .................................. 81,neutral,0.9803867936134338
Mehr Posten für den Osten –  ,positive,0.7627959251403809
Mehr plurale Sichtbarkeit  ........................ 81,neutral,0.9680926203727722
Treuhand-Vergangenheit aufarbeiten  ............ 82,neutral,0.9918786287307739
Für einen wirtschaftlichen Aufbruch Ost  ....... 82,neutral,0.9999890327453613
Reaktivierung öffentlicher  Infrastruktur  ......... 83,neutral,0.9962085485458374
Gegen alte und neue Nazis  ....................... 84,negative,0.9651816487312317
"Starke Kommunen,  ",negative,0.9242039322853088
gute Lebensqualität   .......................... 84,positive,0.9906258583068848
Mit Steuern umsteuern  ....................... 85,negative,0.9213043451309204
Einkommensteuer  gerecht  reformieren  .......... 88,neutral,0.9996507167816162
Die Macht der Banken  ,neutral,0.9985008239746094
und Finanzmärkte brechen  .................. 89,neutral,0.9946781396865845
Finanzkriminalität stoppen!  ...................... 90,negative,0.5232049226760864
"Für eine Digitalisierung,  ",neutral,0.9993506073951721
die den Menschen nützt  ...................... 92,neutral,0.9816680550575256
Beschäftigte und ihre Rechte stärken  ........... 92,neutral,0.9964568018913269
Die Macht der Internetkonzerne  ,neutral,0.99946528673172
und Plattformen begrenzen  ...................... 93,neutral,0.9999545812606812
Digitale Infrastruktur für alle ausbauen  .......... 93,neutral,0.9962085485458374
Datensicherheit und Datenschutz  ............... 95,negative,0.9964258074760437
Grundrechte schützen  ........................... 96,neutral,0.9953983426094055
Digitale Zahlungssysteme regulieren  ............ 97,neutral,0.9995546936988831
Öffentliche Verwaltung  ,neutral,0.9896685481071472
demokratisch und digital  ........................ 97,neutral,0.9943313598632812
Schule und Lernen digital  unterstützen  .......... 98,neutral,0.999950647354126
Digitalisierung im Gesundheitswesen  ........... 99,neutral,0.9999526739120483
Nachhaltige Digitalisierung:  ,neutral,0.999945878982544
 ökologisch und sozial  ........................... 100,positive,0.9552263617515564
"Für Gerechtigkeit, Selbstbestimmung  ",neutral,0.9942585229873657
