Section,Sentiment,Score
Unser Zukunftsprogramm–– Wofür wir stehen,neutral,0.94410640001297
Was uns antreibt,negative,0.6283256411552429
Wonach wir streben,negative,0.6115949153900146
.0,neutral,0.9459668397903442
Zukunft,positive,0.6772888898849487
Respekt,positive,0.9673445820808411
Europa,positive,0.7266142964363098
Am Anfang des dritten Jahrzehnts des 21,neutral,0.9999418258666992
"Jahrhunderts stehen wir in Deutschland, Europa und der Welt vor gewaltigen Aufgaben",neutral,0.9999575614929199
"Dabei hat die Corona-Krise drängende Fragen unserer Zeit teils überlagert, teils stärker in den Fokus gerückt: Gelingt es uns, die Arbeit und den Wohlstand von morgen zu sichern und für Vollbeschäftigung zu sorgen? Oder finden wir uns damit ab, dass Menschen ohne Arbeit bleiben? Überwinden wir die wachsende Ungleichheit? Oder nehmen wir es hin, dass wenige sich die höchsten Einkommen und die besten Perspektiven sichern, aber die Lasten und Risiken auf den Schultern derer liegen, die sich nicht wehren können? Wird es uns gelingen, unser Leben und Wirtschaften so zu verändern, dass wir den menschengemachten Klimawandel aufhalten? Nehmen wir die Gestaltung des digitalen Wandels als demokratische Gesellschaft selbst in die Hand oder bleibt es dabei, dass die Entwicklung der digitalen Welt von wenigen Technologiekonzernen diktiert wird? Sorgen wir für gleiche Teilhabe und mehr Zusammenhalt? Oder nehmen wir es hin, dass unsere Gesellschaft immer weiter auseinanderdriftet, so dass Populisten und Nationalisten leichtes Spiel haben? Das neue Jahrzehnt beginnt mit der Herausforderung der Corona-Pandemie",neutral,0.9975941777229309
Für viele Bürgerinnen und Unternehmen bedeutet diese Krise harte Einschränkungen,neutral,0.9999908208847046
"Umso bemerkenswerter ist die Bereitschaft, Solidarität zu üben, um uns alle zu schützen und dafür auch Einschnitte in die persönliche Freiheit zu akzeptieren",neutral,0.9999895095825195
"Die nächsten Monate werden uns die Rückkehr in eine neue Normalität ermöglichen, die die Beschränkungen des öffentlichen und des privaten Lebens Zug um Zug überwindet",neutral,0.9999886751174927
Doch auch dann wird uns Corona noch begleiten,neutral,0.9999909400939941
Vieles wird anders,negative,0.987852931022644
Die Erfahrung dieser Krise wird sich ins kollektive Gedächtnis einschreiben,neutral,0.9999909400939941
"Wir alle haben erfahren, dass nichts eine persönliche Begegnung auf Dauer ersetzen kann",neutral,0.9982983469963074
"Wir haben aber auch gelernt, wie wir digital zusammenarbeiten und kommunizieren können",neutral,0.999984622001648
"Außerdem haben mittlerweile alle erkannt, wie unabdingbar die Arbeit vieler Menschen für unser tägliches Leben und Überleben ist, die aber bisher nicht die Wertschätzung und schon gar nicht die Bezahlung und Sicherheit bekommen, die sie verdienen",neutral,0.9999434947967529
"Es hat sich eindringlich bestätigt, dass Familien auf eine krisenfeste, verlässliche Infrastruktur an Bildung, Betreuung und Angeboten der Kinder und Jugendarbeit angewiesen sind",neutral,0.9991351962089539
"Um die Krise zu überwinden, braucht es gemeinsame Anstrengungen",neutral,0.9999886751174927
"Daraus kann neuer Mut wachsen, mit dem wir die großen Aufgaben unserer Zeit zuversichtlich angehen können",neutral,0.9999750852584839
"Wir wollen sichern und ausbauen, was wir erarbeitet haben, wir wollen den Klimawandel bewältigen, die Arbeit von morgen schaffen, Chancen und Lasten gerecht verteilen, die Gesellschaft zusammenhalten und der Gefahr ihrer Spaltung begegnen",neutral,0.9978600144386292
"Wir Sozialdemokratinnen sind entschlossen, diese Aufgaben zu bewältigen",neutral,0.9999752044677734
"Die meisten Bürgerinnen in unserem Land eint das Bedürfnis nach Respekt, Zusammenhalt und Zuversicht für eine gute, sichere Zukunft in Deutschland und Europa",neutral,0.9997277855873108
"Diese Zuversicht entsteht aus dem Vertrauen, Einfluss darauf nehmen zu können, wohin sich unser Leben, wohin sich unsere Gesellschaft entwickelt",neutral,0.9999897480010986
"Immer mehr Bürgerinnen wollen mitbestimmen, in welche Richtung wir gehen werden",neutral,0.9817787408828735
"Spürbar ist das in dem gewachsenen Bewusstsein um die ökologische Verantwortung, in der dringenden Sorge um den schwindenden Zusammenhalt oder in der wachsenden Kritik an Ungleichheit in unserer Gesellschaft",neutral,0.9999908208847046
"In der Corona-Krise wird einmal mehr überaus deutlich, dass Gewinnmaximierung und Kostenminimierung nicht das Maß aller Dinge sein dürfen",neutral,0.99998939037323
"In der Wirtschaft, im Gesundhei tssystem, im Bildungssystem, der Justiz und anderen wichtigen Bereichen wurde zu viel „auf Kante genäht“ ",neutral,0.9999871253967285
Aber unsere Gesellschaft ist stabil – auch unter widrigen Umständen und in krisenhaften Situationen,neutral,0.99992835521698
"Wir müssen alles dransetzen, dass es so bleibt",positive,0.9634069800376892
Die Stabilität verdanken wir der beeindruckenden Solidarität und den demokratischen Grundwerten unserer Gesellschaft,neutral,0.9999908208847046
Neue Akzeptanz und neue Begeisterung sowie neuer Respekt für demokratische Institutionen entstehen durch mehr Transparenz und Beteiligung,neutral,0.9999905824661255
Für den Zusammenhalt unserer Gesellschaft ist der Respekt vor der Verschiedenheit der Menschen und ihrer Lebensentwürfe eine der wichtigsten Grundlagen,neutral,0.9999909400939941
"Diese Vielfalt ist ein unschätzbarer Gewinn, und wir werden dafür sorgen, dass sie sich in allen Bereichen unserer Gesellschaft, in unseren Parlamenten und in den Formaten der Beteiligung angemessen widerspiegelt",neutral,0.9999825954437256
Vielen in Deutschland geht es – auch im Vergleich mit anderen Ländern – wirtschaftlich gut,neutral,0.9999463558197021
"Aber das gilt nicht für alle und es fehlt vielen die Gewissheit, dass das auch morgen so sein wird",neutral,0.9999775886535645
"Mit unserer Politik werden wir dazu beitragen, dass die Ungleichheit überwunden wird, Sicherheit im Wandel garantiert ist und neue Zuversicht entsteht",neutral,0.999789297580719
1.1,positive,0.9697614312171936
Zukunft sichern Ein kurzer Blick in die Zukunft: Spätestens 2045 werden wir klimaneutral wirtschaften,neutral,0.997806966304779
"Windkraft und Sonne sind unsere Energiequellen, unterstützt durch eine saubere Wasserstoffwirtschaft",neutral,0.9996962547302246
"Öffentliche Gebäude, Schulen und Supermärkte beziehen Solarstrom, und klimafreundliches Unternehmertum wird finanziell belohnt",neutral,0.9999809265136719
Wir sehen in dieser Jahrhundertaufgabe riesige Potenziale für gute und sichere Arbeitsplätze,neutral,0.9939907789230347
"Deutschland ist erfolgreich als Exporteur umweltfreundlicher Technologien, weil es gelungen ist, Produktionsprozesse nachhaltig und die 20er zu einem Jahrzehnt der erneuerbaren Energien zu machen",neutral,0.9999916553497314
"Den sozial-ökologischen Umbau der Wirtschaft meistern wir, wenn wir wirtschaftlichen Erfolg zukünftig nicht nur am Bruttoinlandsprodukt messen, sondern am Wohlergehen der gesamten Gesellschaft und der Natur",neutral,0.9999886751174927
Wir richten unsere Politik an den Nachhaltigkeitszielen der Vereinten Nationen (SDG) aus und werden dazu die Deutsche Nachhaltigkeitsstrategie weiterentwickeln,neutral,0.9999288320541382
"Wenn der Staat maßgebliche Impulse gibt, durch kluge Spielregeln, die soziale und technische Innovationen hervorbringen, durch Förderung von Wissenschaft und Forschung, durch massive und stetige Investitionen in eine moderne Infrastruktur, durch aktive Förderung der Regionen im Wandel und durch Beteiligung der Bürgerinnen im Allgemeinen und der Beschäftigten im Besonderen",neutral,0.9999912977218628
So werden Arbeitsplätze zukunftsfähig und neue gute Arbeitsplätze geschaffen,neutral,0.9999896287918091
So sichern wir Einkommen und Perspektiven für alle,neutral,0.999962568283081
"Wir wollen einen neuen sozial-ökologischen Gesellschaftsvertrag, der dafür sorgt, dass im Wandel niemand abgehängt wird",neutral,0.9990379810333252
.2,negative,0.9818621277809143
"Respekt erneuern Die Corona-Krise hat uns allen in Deutschland vor Augen geführt, wie sehr wir in unserem Alltag auf die Arbeit derjenigen angewiesen sind, deren Einkommen bislang oft nur knapp zum Leben reicht",neutral,0.9686205983161926
"Die Kassiererinnen im Supermarkt, die Busfahrerinnen, Reinigungskräfte, Pflegekräfte und Erzieherinnen verdienen mehr Anerkennung – die sich auch in guten Einkommen und Arbeitsbedingungen niederschlägt",neutral,0.9999175071716309
Dafür werden wir kämpfen,neutral,0.9916093945503235
"Wie wertvoll ein funktionierender Sozialstaat ist, haben wir in der Corona-Krise erlebt",neutral,0.9926018118858337
"Wir bemühen uns, die wirtschaftlichen und sozialen Folgen der Krise bestmöglich durch verschiedene Maßnahmen abzumildern, etwa durch ein tragfähiges Kurzarbeitergeld",neutral,0.9999752044677734
"Erkennbar wurde aber auch, wo wir als Gesellschaft noch viel zu tun haben",neutral,0.9999622106552124
"Bei der immer noch nicht vollendeten Gleichstellung von Männern und Frauen, die sich vor allem daran zeigte, dass sich viele unvermittelt in alte Rollenmodelle zurückversetzt gesehen haben",neutral,0.9999885559082031
"Auch bei der unzureichenden Absicherung von Künstlerinnen und Selbstständigen, den überteuerten Wohnungen nicht nur in den Ballungszentren und der mangelnden Infrastruktur im ländlichen Raum gibt es noch viel zu tun",neutral,0.9999840259552002
"Respekt vor der Würde aller Bürgerinnen heißt für uns, dass alle ein Recht auf gleiche Verwirklichungschancen und ein sicheres Leben haben",neutral,0.9999477863311768
"Eine Wohnung, ein Kita-Platz, Zugang zu kostenloser Bildung, Mobilität, Kultur, Sport, einen schnellen Internetanschluss, Zugang zum Wissen dieser Welt, verlässliche digitale Dienste für eine aktive Zivilgesellschaft, Gesundheitsversorgung, Mitbestimmung im Arbeitsleben, eine sichere Rente, gute Pflege im Alter, das sind für uns soziale Grundrechte und die Voraussetzungen für die Stabilität von Familie und Gesellschaft",neutral,0.9998014569282532
"Wir treten für eine Gesellschaft ein, die von gegenseitigem Respekt getragen wird",neutral,0.9999834299087524
"Eine Gesellschaft, die, frei von Vorurteilen, alle Bürgerinnen gleichermaßen respektiert",neutral,0.9999550580978394
"Wir schulden einander Respekt, egal ob einer studiert hat oder nicht, ob in Deutschland oder woanders, im Osten oder Westen geboren, ob weiblich, männlich oder divers, ob jung oder alt, arm oder reich, ob mit Behinderung oder ohne",neutral,0.9980429410934448
Für die Würde und Wertschätzung jeder und jedes einzelnen darf das keinen Unterschied machen,neutral,0.9999841451644897
"Wir wollen eine Gesellschaft des Zusammenhalts und stellen uns Hass und Hetze, jedweder Art von Ausgrenzung und Diskriminierung und dem Erstarken rechtsextremer Kräfte mit aller Entschiedenheit entgegen",neutral,0.9995194673538208
Wir wollen gleichwertige Lebensverhältnisse in ganz Deutschland schaffen,neutral,0.9921283721923828
"Dazu gehört auch, die deutsche Einheit zu vollenden und das Ungleichgewicht zwischen Metropole und Peripherie, zwischen traditionellen Industrieregionen und neuen Boom-Zonen, zwischen Stadt und Land zu reduzieren",neutral,0.9999912977218628
Gerade hier zeigen sich die Herausforderungen großer gesellschaftlicher Transformationsprozesse und des Strukturwandels,neutral,0.9999915361404419
"Dabei sind der Respekt und die Anerkennung der spezifisch ostdeutschen Lebenserfahrungen und Lebensleistungen zentral, um das Vertrauen in die Demokratie weiter zu stärken",neutral,0.9999914169311523
"Unser Ziel ist, die Sichtbarkeit der Ostdeutschen in allen Bereichen zu erhöhen",neutral,0.9997099041938782
.3,positive,0.9225674867630005
"Europa stärken Grenzenlos reisen, arbeiten, studieren oder leben",neutral,0.9999003410339355
"Die Europäische Union (EU) hat das Leben von Millionen von Menschen geprägt, neue Möglichkeiten und Freiheiten eröffnet und den unermesslichen Wert kultureller Vielfalt für unsere Gesellschaften für viele erlebbar gemacht",neutral,0.9999741315841675
"Sie hat gezeigt, dass wir gemeinsam mehr erreichen können",neutral,0.9999765157699585
Darauf wird es in Zukunft ganz besonders ankommen,neutral,0.9992892742156982
"In einem von globalem Wettbewerb geprägten Umfeld können wir unsere europäischen Werte und Interessen nur behaupten, wenn Europa nach innen geeint und nach außen handlungsfähig ist",neutral,0.9999878406524658
Wir wollen die Freiheit und Rechtstaatlichkeit in Europa schützen und die EU zur modernsten Demokratie der Welt machen,neutral,0.9937664270401001
"Wir wollen, dass Europa auch beim Klimaschutz Vorreiter wird",neutral,0.9951035976409912
Wir wollen ein digital souveränes Europa auf der Basis einer wertebasierten digitalen Wirtschaft,neutral,0.9999407529830933
"Mit Investitionen in unsere gemeinsame Wirtschaftsund Innovationskraft stärken wir Europa als den modernsten, sozialsten, nachhaltigsten und wettbewerbsfähigsten Wirtschaftsraum der Welt und sichern so die Grundlagen unseres Wohlstands",neutral,0.999990701675415
"Damit schaffen wir die Voraussetzungen für ein souveränes Europa, das für soziale Gerechtigkeit, Wohlstand und Menschenrechte steht und sich geschlossen für eine gerechtere, friedlichere und nachhaltigere Welt einsetzt",neutral,0.9999856948852539
Nur miteinander werden wir eine humanitäre und solidarische Flüchtlingspolitik gewährleisten,neutral,0.9999804496765137
"Demokratie, Freiheit und Rechtsstaatlichkeit sind das Fundament unserer Gemeinschaft",neutral,0.9999732971191406
"Wir werden es nicht zulassen, dass nationalistischer Hass und populistische Hetze Europa spalten",neutral,0.9848889112472534
Wir meinen es ernst mit der europäischen Solidarität,neutral,0.9959560036659241
"Wir haben zu Beginn der Pandemie schnell und kraftvoll gehandelt und den größten Wiederaufbaufonds der Geschichte der Europäischen Union auf den Weg gebracht – eine Solidarleistung, die die sozialen Folgen der Corona-Krise abmildert und die gleichzeitig den sozial-ökologischen Wandel vorantreibt und Innovationen fördert",neutral,0.9999665021896362
Europa bekommt dafür weltweite Anerkennung,neutral,0.99998939037323
Auf dieser Basis wollen wir neues Vertrauen in Europa aufbauen und eine wirtschaftliche und politische Spaltung der EU verhindern,neutral,0.9999914169311523
1.4,positive,0.9744864106178284
Zusammenhalt wählen Wir haben vieles erreicht in der Regierungskoalition,positive,0.9478780627250671
Die Erfolge tragen eine erkennbar sozialdemokratische Handschrift,neutral,0.9999912977218628
"Dazu zählen die Verlängerung und die Erhöhung des Kurzarbeitergelds, der Corona-Kinderbonus und die Erhöhung des Kinderzuschlags sowie mehr Geld für den Kita-Ausbau, die Ausgestaltung des Corona-Konjunkturpakets mit den Schwerpunkten der wirtschaftlichen Stabilisierung, der sozialen Sicherung und der ökologischen Transformation, dazu die deutliche Einschränkung von Werkvertragsund Leiharbeit in der Fleischindustrie",neutral,0.9999915361404419
