Party,Label,Percentage
DIE_LINKE,Bildung,7.24
DIE_LINKE,Wirtschaft,68.84
DIE_LINKE,Gesundheit,17.98
DIE_LINKE,Umwelt,5.94
FDP,Bildung,9.04
FDP,Wirtschaft,66.9
FDP,Gesundheit,18.83
FDP,Umwelt,5.22
DIE_GRUENEN,Bildung,6.94
DIE_GRUENEN,Wirtschaft,66.61
DIE_GRUENEN,Gesundheit,21.76
DIE_GRUENEN,Umwelt,4.7
AFD,Bildung,11.58
AFD,Wirtschaft,59.08
AFD,Gesundheit,23.72
AFD,Umwelt,5.62
CDU-CSU,Bildung,6.35
CDU-CSU,Wirtschaft,71.99
CDU-CSU,Gesundheit,15.87
CDU-CSU,Umwelt,5.78
SPD,Bildung,9.5
SPD,Wirtschaft,65.46
SPD,Gesundheit,18.54
SPD,Umwelt,6.49
