Party,Label,Percentage
DIE_LINKE,Bildung,36.3
DIE_LINKE,Wirtschaft,34.94
DIE_LINKE,Gesundheit,5.74
DIE_LINKE,Umwelt,23.01
FDP,Bildung,34.08
FDP,Wirtschaft,34.45
FDP,Gesundheit,5.31
FDP,Umwelt,26.15
DIE_GRUENEN,Bildung,36.56
DIE_GRUENEN,Wirtschaft,31.55
DIE_GRUENEN,Gesundheit,5.46
DIE_GRUENEN,Umwelt,26.43
AFD,Bildung,38.0
AFD,Wirtschaft,29.89
AFD,Gesundheit,6.31
AFD,Umwelt,25.8
CDU-CSU,Bildung,33.45
CDU-CSU,Wirtschaft,32.91
CDU-CSU,Gesundheit,5.4
CDU-CSU,Umwelt,28.23
SPD,Bildung,37.95
SPD,Wirtschaft,32.2
SPD,Gesundheit,6.22
SPD,Umwelt,23.63
