Section,Sentiment,Score
Programm der Alternative für Deutschland ,positive,0.7366572618484497
für die Wahl zum 20. Deutschen Bundestag2 Inhaltsverzeichnis,neutral,0.9999704360961914
Demokratie und Rechtsstaat  12,neutral,0.998163640499115
Das Volk ist der Souverän 12,neutral,0.9999668598175049
Volksabstimmungen nach Schweizer Modell 13,neutral,0.9999309778213501
Die Gewaltenteilung gewährleisten 15,neutral,0.9999463558197021
Entpolitisierung der Justiz 15,neutral,0.9999868869781494
Verfassungsschutz reformieren 16,neutral,0.9999808073043823
Trennung von Amt und Mandat und Kampf der Ämterpatronage 16,neutral,0.999967098236084
Macht der Parteien beschränken 16,neutral,0.9988871216773987
Freie Listenwahl und freies Mandat 17,positive,0.982012927532196
Verkleinerung der Parlamente 18,neutral,0.9999871253967285
Berufspolitikertum: Mandats- und Amtszeiten begrenzen 18,neutral,0.9999896287918091
Lobbyismus eindämmen 19,neutral,0.998267412185669
Freiheit und Verantwortung  22,neutral,0.9984843134880066
Bürgerlich-freiheitliche Rechtsordnung 22,neutral,0.9927412271499634
Leistung statt Quote - Freiheit statt Diskriminierung 24,neutral,0.9928140044212341
Schutz der persönlichen Freiheit vor digitalen  Übergriffen 24,neutral,0.9999874830245972
Hinweisgeber (Whistleblower) schützen 25,neutral,0.911875307559967
EU und Europa  28,neutral,0.8916430473327637
Ein Europa der Vaterländer      28,neutral,0.9999845027923584
Zurückführung der Europäischen Union in einen Staatenbund ,neutral,0.9999843835830688
souveräner Staaten 29,neutral,0.9944900274276733
Steuern und Finanzen   34,neutral,0.9972323775291443
Keine EU-Steuern 34,negative,0.9311738610267639
Für ein Steuersystem mit wenigen Steuerarten und verständlicher Systematik 34,neutral,0.999872088432312
Abschaffung der Substanzsteuern 35,neutral,0.999383807182312
Wir wollen ein Land von Wohnungseigentümern werden 37,neutral,0.9959367513656616
Elementare Steuergerechtigkeit statt Nominalwertprinzip ,neutral,0.999462902545929
und Ungleichbehandlung von Steuerbürgern 37,neutral,0.9994908571243286
Besteuerung an Digitalzeitalter anpassen: Einführung einer Digitalsteuer 39Inhaltsverzeichnis          3,neutral,0.9999877214431763
Wirtschaft: Für einen „Blue Deal”  42,neutral,0.9990599751472473
Wirtschafts- und Innovationspolitik für Deutschland 42,neutral,0.9999502897262573
Den Mittelstand entlasten 43,neutral,0.9996116757392883
Politisch induzierte Belastungen aussetzen 43,negative,0.6253548860549927
Technologieführerschaft mit „Blue Deal” 43,neutral,0.9999382495880127
Soziale Marktwirtschaft statt sozialistischer „Industriepolitik“ 45,neutral,0.9999427795410156
Der Euro ist gescheitert  50,negative,0.8743204474449158
Deutschland muss aus dem untergehenden Euro-System austreten 50,neutral,0.9939563870429993
"Keine Schuldenaufnahme durch die EU, Hilfskredite nur auf nationaler Ebene 51",neutral,0.9742669463157654
Zusätzliche Inflationierung durch überzogene Corona-Maßnahmen beenden  52,neutral,0.9996873140335083
EZB-Nullzinspolitik beenden 53,neutral,0.9969810843467712
Wohlstand und sozialer Frieden in Europa durch Wiedereinführung ,neutral,0.9999768733978271
nationaler Währungen  55,positive,0.7151176929473877
Erhalt des Bargelds: Bargeld ist Freiheit und Schutz vor Enteignung ,neutral,0.99997878074646
und Totalüberwachung 56,positive,0.9612728357315063
Target-2-Risiko beenden 57,negative,0.9879497289657593
Nationale Investitionen 58,neutral,0.9970794916152954
"Absicherung gegen die Eurokrise, Geldsystem reformieren, ",neutral,0.9997807145118713
deutsches Staatsgold vollständig zurück nach Deutschland 59,neutral,0.9996157884597778
Außen- und Verteidigungspolitik   62,neutral,0.9998223185539246
Die Außenpolitik Deutschlands muss sich an  deutschen Interessen ausrichten 62,neutral,0.9992640614509583
Das Verhältnis zu wichtigen Staaten im Wandel der Geopolitik 64,neutral,0.9999881982803345
Wiederherstellung der Wehrfähigkeit Deutschlands  66,neutral,0.9994261264801025
Entwicklungspolitik: Stabilität als Sicherheits- und Wirtschaftsinteresse 68,neutral,0.9975215792655945
Deutschland muss seine wirtschaftlichen Stärken ausbauen 70,neutral,0.9993587136268616
Auswärtige Kultur- und Bildungspolitik Deutschlands 714 Inhaltsverzeichnis,neutral,0.9999850988388062
Innere Sicherheit   76,neutral,0.7793973684310913
Linke Gewalt entschieden bekämpfen 76,neutral,0.9780738949775696
Wirksame Bekämpfung der Ausländerkriminalität 77,neutral,0.9994788765907288
Vollstreckung im Ausland 78,neutral,0.9889100790023804
Jugendstrafrecht 78,neutral,0.9903259873390198
Bundespolizei stärken – Grenzschutz ist nationale Aufgabe 78,neutral,0.9999760389328003
Reform der Polizei 79,neutral,0.9999730587005615
Fahndungsmöglichkeiten verbessern 80,negative,0.9381325840950012
Organisierte Kriminalität bekämpfen 80,neutral,0.9875054359436035
Sicherheit der Bürger verbessern 81 ,negative,0.640929102897644
Strafjustiz verbessern 81,negative,0.9439391493797302
Islam  84,positive,0.8581407070159912
"Migration, Asyl und Integration:                                                                                  ",neutral,0.9736135005950928
Human und rational handeln – Deutschland schützen  90,neutral,0.9875768423080444
