Section,Sentiment,Score
   Das Programm für Stabilität   ,neutral,0.9953901767730713
   und Erneuerung.  ,neutral,0.9805867671966553
  GEMEINSAM FÜR EIN MODERNES DEUTSCHLAND.   Seite 1 von 139 Inhaltsverzeichnis ,neutral,0.9999785423278809
 ,negative,0.8723633885383606
Einleitung ...................................................................................................................  4 ,positive,0.9509666562080383
 ,negative,0.8723633885383606
"1. Neue Verantwortung Deutschlands in der Welt – aus Überzeugung für Frieden, ",neutral,0.9999805688858032
Freiheit und Menschenrechte ...............................................................................  6 ,neutral,0.9982898831367493
1.1. Stärkung der werte- und regelbasierten internationalen Ordnung .........................  6 ,neutral,0.9999476671218872
1.2. Deutschland als Stabilitätsanker in der globalen Welt ...............................................  7 ,neutral,0.999947190284729
1.3. Aufbruch für die transatlantische Partnerschaft .........................................................  8 ,neutral,0.9998718500137329
1.4. Stabilität in ganz Europa ..................................................................................................  9 ,neutral,0.9986805319786072
1.5. Besondere Verantwortung Deutschlands gegenüber Israel ...................................  10 ,neutral,0.9613651633262634
1.6. Neue Aufmerksamkeit für den asiatisch-pazifischen Raum ...................................  11 ,neutral,0.9981005787849426
1.7. Moderne und voll einsatzbereite Bundeswehr .........................................................  11 ,neutral,0.9963416457176208
1.8. Für eine nachhaltige Entwicklung in der Einen Welt ...............................................  13 ,neutral,0.9999761581420898
1.9. Für eine Entwicklungspartnerschaft mit Afrika ........................................................  14 ,neutral,0.9998962879180908
1.10.  Internationaler Klimaschutz zur Bewahrung der Schöpfung ................................ . 15 ,neutral,0.9999747276306152
 ,negative,0.8723633885383606
2. Neue Weltpolitikfähigkeit – mit Leidenschaft für ein starkes Europa ..................  17 ,neutral,0.9999542236328125
2.1. Ein starkes Deutschland in einem starken Europa ...................................................  17 ,neutral,0.9995312690734863
2.2. Mehr Europa in der Weltpolitik ...................................................................................  18 ,neutral,0.9999285936355591
2.3. Nachhaltiges Europa ......................................................................................................  20 ,neutral,0.9998780488967896
2.4. Wettbewerbsfähiges und stabiles Europa ..................................................................  21 ,neutral,0.999268114566803
2.5. Unser Europa der Ordnung und Sicherheit ...............................................................  24 ,neutral,0.9941902160644531
"2.6.  Für ein modernes, innovatives und digitales Europa ...............................................  28 ",neutral,0.9999579191207886
2.7. Ein handlungsfähiges und bürgernahes Europa ........................................................  30 ,neutral,0.9975332021713257
 ,negative,0.8723633885383606
3. Neuer Wohlstand – mit nachhaltigem Wachstum zum klimaneutralen ,neutral,0.9988057613372803
Industrieland ......................................................................................................  33 ,neutral,0.9149789810180664
3.1. Unser Entfesselungspaket für die Wirtschaft ...........................................................  34 ,neutral,0.97601717710495
3.2. Sichere Arbeit mit Zukunft ...........................................................................................  37 ,neutral,0.993413507938385
3.3. Deutschland als klimaneutrales Industrieland bis 2045 ..........................................  40 ,neutral,0.9999861717224121
3.4. Unser Energiekonzept für die Zukunft .......................................................................  42 ,neutral,0.9882974028587341
3.5. Nachhaltiges Wirtschaften zum Schutz unserer Ressourcen ................................ . 45 ,neutral,0.9997459053993225
3.6. Vorfahrt für intelligente Mobilität ..............................................................................  47 ,neutral,0.9980639815330505
"3.7. Eine Landwirtschaft, die stark und nachhaltig ist .....................................................  50 ",neutral,0.9999544620513916
3.8. Modernes Recht für mündige Verbraucherinnen und Verbraucher .....................  56 Seite 2 von 139 4. Neue Fairness und soziale Sicherheit – für den gesellschaftlichen  ,neutral,0.9999884366989136
Zusammenhalt ....................................................................................................  58 ,positive,0.9091584086418152
4.1. Finanzielle Sicherheit im Alter .....................................................................................  58 ,neutral,0.9967501163482666
4.2. Soziale Sicherheit in allen Lebenslagen ......................................................................  61 ,neutral,0.998273491859436
4.3. Leistungsfähiges Gesundheitswesen ..........................................................................  63 ,neutral,0.9937227368354797
4.4. Gute Pflege für mehr Sicherheit und Halt ................................................................ . 67 ,positive,0.9410132169723511
4.5. Deutschlands Verantwortung für globale Gesundheit ............................................  69 ,neutral,0.999755322933197
 ,negative,0.8723633885383606
5. Neue Generationengerechtigkeit bei Finanzen und Steuern –  ,neutral,0.9996010661125183
aus Verantwortung für unsere Kinder und Enkel .................................................  70 ,neutral,0.9978942275047302
5.1. Mit soliden Finanzen sicher in die Zukunft ...............................................................  70 ,neutral,0.9690279960632324
"5.2. Faire, leistungsgerechte und wettbewerbsfähige Steuern .....................................  71 ",neutral,0.9890656471252441
5.3. Vermögensbildung für jeden ........................................................................................  73 ,neutral,0.9971767663955688
5.4. Finanzplatz Deutschland stärken ................................................................................  74 ,neutral,0.9963935017585754
 ,negative,0.8723633885383606
6. Neues Aufstiegsversprechen – für Deutschland als Chancen- und Familienland .. 75 ,neutral,0.9998292922973633
"6.1. Mehr Zeit, Raum und Unterstützung für Familien ...................................................  75 ",neutral,0.9961372017860413
6.2. Gleichberechtigte Chancen für Frauen und Männer ...............................................  78 ,neutral,0.9993391633033752
6.3. Aufstieg durch Bildung ..................................................................................................  79 ,neutral,0.9990764856338501
 ,negative,0.8723633885383606
7. Neuer Mut zur Innovation – aus Verantwortung für die Zukunft .........................  84 ,neutral,0.9994530081748962
7.1. Strategische Forschungs- und Innovationspolitik für Deutschland ......................  84 ,neutral,0.9999388456344604
7.2. Die besten Köpfe für unser Land .................................................................................  89 ,neutral,0.870003879070282
7.3 Digitale Transformationsoffensive ..............................................................................  92 ,neutral,0.9925979375839233
 ,negative,0.8723633885383606
8. Neue Leistungsfähigkeit für einen modernen Staat – zum Wohl der  ,neutral,0.9983826875686646
Bürgerinnen und Bürger .....................................................................................  95 ,neutral,0.9983966946601868
8.1. Modernisierungsjahrzehnt für den Staat ...................................................................  95 ,neutral,0.998687207698822
8.2. Die Bürgerinnen und Bürger im Mittelpunkt ............................................................  99 ,neutral,0.9994586110115051
8.3. Der öffentliche Dienst als moderner Arbeitgeber ..................................................  101 ,neutral,0.9999682903289795
8.4. Digitale Infrastruktur ...................................................................................................  104 ,neutral,0.8634609580039978
8.5. Nachhaltiger Staat ........................................................................................................  104 ,neutral,0.9988505840301514
 ,negative,0.8723633885383606
9. Neue Stärke für mehr Sicherheit – aus Verantwortung für unsere Freiheit .........  106  ,neutral,0.9979404807090759
9.1. Mehr Sicherheit überall und jederzeit ......................................................................  106 ,positive,0.9995312690734863
9.2. Voller Schutz für Kinder und Frauen vor Gewalt und Missbrauch ......................  108 Seite 3 von 139 9.3. Kein Raum für organisierte Kriminalität ..................................................................  110 ,neutral,0.999954104423523
9.4. Null Toleranz gegenüber kriminellen Familienclans ..............................................  111 ,neutral,0.9791130423545837
9.5. Schutz unserer Demokratie vor Extremisten und Terroristen .............................  112 ,neutral,0.9983134269714355
9.6. Stärkung unserer Sicherheitsbehörden ....................................................................  116 ,neutral,0.9991793036460876
9.7.  Gefahrenabwehr im Cyberraum ................................................................................  117 ,neutral,0.9996832609176636
9.8. Wirksamer Bevölkerungsschutz .................................................................................  119 ,neutral,0.9998348951339722
9.9. Starke und bürgernahe Justiz .....................................................................................  121 ,neutral,0.9999634027481079
 ,negative,0.8723633885383606
10. Neue Lebensqualität in Stadt und Land – aus Liebe zu unserer Heimat ..............  123  ,neutral,0.9999146461486816
10.1. Gutes Wohnen in lebendigen Dörfern und Städten ...............................................  123 ,positive,0.9943752288818359
10.2.  Gleichwertige Lebensverhältnisse und wirtschaftliche Entwicklung in allen ,neutral,0.9998036026954651
Regionen ........................................................................................................................  126 ,neutral,0.9984579086303711
10.3. Stärkung von Zusammenhalt und Ehrenamt ...........................................................  132 ,neutral,0.9999128580093384
10.4. Integration als Fundament des Miteinanders .........................................................  134 ,neutral,0.999980092048645
10.5. Deutschland als Kulturnation .....................................................................................  135 ,neutral,0.9930116534233093
10.6. Eine moderne Medienlandschaft ...............................................................................  137 ,neutral,0.9952653646469116
10.7. Engagierte Sportförderung .........................................................................................  138  ,neutral,0.9999783039093018
 Seite 4 von 139 Einleitung  1 ,neutral,0.999835729598999
 2 ,negative,0.9818620085716248
Deutschland ist ein starkes Land. Das ist vor allem ein Verdienst der Bür gerinnen und Bür- 3 ,neutral,0.9986844658851624
"ger, die jeden Tag anpacken, damit es bei uns auch morgen gut läuf t. Wir haben starke Be- 4 ",negative,0.5898205041885376
"triebe, innovative Startups und Weltmarktführer, herausragende Forsch erinnen und For- 5 ",neutral,0.9986831545829773
scher und eines der besten Gesundheits- und Sozialsysteme de r Welt. Wir sind ein weltof- 6 ,neutral,0.9372598528862
"fenes und sicheres Land; ein Land, das Verantwortung für Sicher heit und Frieden, Freiheit 7 ",neutral,0.9998979568481445
und Wohlstand in Europa und weltweit übernimmt. 8 ,neutral,0.9999716281890869
Die Corona-Krise hat unser Land und besonders Staat und Verwaltung herausgefordert und 9 ,neutral,0.9989213943481445
"offengelegt, dass wir in einigen Bereichen schneller, besser und mu tiger werden müssen. 10 ",positive,0.9850153923034668
Wir brauchen einen kraftvollen Neustart nach der Krise. Wir wollen di e 20er Jahre zu einem 11 ,neutral,0.988138735294342
Modernisierungsjahrzehnt für unser Land machen. Dabei wollen wi r das Gute besser ma- 12 ,positive,0.49798446893692017
"chen. Denn klar ist : Wir können nicht zaubern, aber wir können und wir wollen arbeiten  und 13 ",neutral,0.98602294921875
gestalten. 14 ,positive,0.940814733505249
