Paragraph,Sentiment,Score
"Das Programm für Stabilität   
   und Erneuerung.",neutral,0.9990251064300537
GEMEINSAM FÜR,neutral,0.4794735312461853
EIN MODERNES,positive,0.99309241771698
DEUTSCHLAND.,positive,0.8728619813919067
"Seite 1 von 139 Inhaltsverzeichnis 
 
Einleitung",neutral,0.9999557733535767
"...................................................................................................................  4 
 
1.",positive,0.9378384947776794
"Neue Verantwortung Deutschlands in der Welt – aus Überzeugung für Frieden, 
Freiheit und Menschenrechte",neutral,0.9999786615371704
"...............................................................................  6 
1.1. Stärkung der werte- und regelbasierten internationalen Ordnung .........................  6 
1.2. Deutschland als Stabilitätsanker in der globalen Welt ...............................................  7 
1.3.",neutral,0.9999847412109375
"Aufbruch für die transatlantische Partnerschaft .........................................................  8 
1.4.",neutral,0.99982750415802
Stabilität in ganz Europa,neutral,0.9986913800239563
"..................................................................................................  9 
1.5.",positive,0.9568888545036316
"Besondere Verantwortung Deutschlands gegenüber Israel ...................................  10 
1.6.",neutral,0.9998990297317505
Neue Aufmerksamkeit für den asiatisch-pazifischen Raum ...................................,positive,0.9857584238052368
"11 
1.7.",positive,0.920080840587616
"Moderne und voll einsatzbereite Bundeswehr .........................................................  11 
1.8.",neutral,0.9954158067703247
"Für eine nachhaltige Entwicklung in der Einen Welt ...............................................  13 
1.9.",neutral,0.9999723434448242
"Für eine Entwicklungspartnerschaft mit Afrika ........................................................  14 
1.10.  Internationaler Klimaschutz zur Bewahrung der Schöpfung ................................ .",neutral,0.9999910593032837
"15 
 
2. Neue Weltpolitikfähigkeit – mit Leidenschaft für ein starkes Europa ..................  17 
2.1.",neutral,0.9999829530715942
"Ein starkes Deutschland in einem starken Europa ...................................................  17 
2.2.",neutral,0.9999853372573853
"Mehr Europa in der Weltpolitik ...................................................................................  18 
2.3. Nachhaltiges Europa",neutral,0.9999812841415405
......................................................................................................,negative,0.8723633885383606
"20 
2.4.",positive,0.918032169342041
Wettbewerbsfähiges und stabiles Europa,neutral,0.9976128339767456
"..................................................................  21 
2.5.",positive,0.8433210253715515
"Unser Europa der Ordnung und Sicherheit ...............................................................  24 
2.6.",neutral,0.9974033236503601
"Für ein modernes, innovatives und digitales Europa ...............................................  28 
2.7.",neutral,0.9999872446060181
"Ein handlungsfähiges und bürgernahes Europa ........................................................  30 
 
3. Neuer Wohlstand – mit nachhaltigem Wachstum zum klimaneutralen 
Industrieland ......................................................................................................  33 
3.1.",neutral,0.9999779462814331
Unser Entfesselungspaket für die Wirtschaft ...........................................................,neutral,0.9581953287124634
"34 
3.2. Sichere Arbeit mit Zukunft ...........................................................................................",neutral,0.9975360631942749
"37 
3.3.",positive,0.8705418109893799
Deutschland als klimaneutrales Industrieland bis 2045 ..........................................,neutral,0.9999867677688599
"40 
3.4.",positive,0.8253772854804993
Unser Energiekonzept für die Zukunft .......................................................................,neutral,0.9892688393592834
"42 
3.5. Nachhaltiges Wirtschaften zum Schutz unserer Ressourcen ................................ .",neutral,0.9999805688858032
"45 
3.6. Vorfahrt für intelligente Mobilität ..............................................................................",neutral,0.999269425868988
"47 
3.7.",positive,0.9054404497146606
"Eine Landwirtschaft, die stark und nachhaltig ist .....................................................  50 
3.8. Modernes Recht für mündige Verbraucherinnen und Verbraucher .....................  56 Seite 2 von 139 4.",neutral,0.9999915361404419
"Neue Fairness und soziale Sicherheit – für den gesellschaftlichen  
Zusammenhalt",neutral,0.9989820122718811
"....................................................................................................  58 
4.1.",positive,0.9376872181892395
"Finanzielle Sicherheit im Alter .....................................................................................  58 
4.2.",neutral,0.9974349141120911
Soziale Sicherheit in allen Lebenslagen ......................................................................,neutral,0.998104453086853
"61 
4.3. Leistungsfähiges Gesundheitswesen ..........................................................................",neutral,0.999078631401062
"63 
4.4.",positive,0.9357635378837585
Gute Pflege für mehr Sicherheit und Halt ................................................................,positive,0.9869049191474915
"67 
4.5. Deutschlands Verantwortung für globale Gesundheit ............................................",neutral,0.9999860525131226
"69 
 
5. Neue Generationengerechtigkeit bei Finanzen und Steuern –  
aus Verantwortung für unsere Kinder und Enkel .................................................",neutral,0.9999756813049316
"70 
5.1.",positive,0.9142275452613831
"Mit soliden Finanzen sicher in die Zukunft ...............................................................  70 
5.2. Faire, leistungsgerechte und wettbewerbsfähige Steuern .....................................  71 
5.3. Vermögensbildung für jeden ........................................................................................  73 
5.4. Finanzplatz Deutschland stärken ................................................................................  74 
 
6. Neues Aufstiegsversprechen – für Deutschland als Chancen- und Familienland .. 75 
6.1.",neutral,0.9999781847000122
"Mehr Zeit, Raum und Unterstützung für Familien ...................................................  75 
6.2.",neutral,0.9984235763549805
"Gleichberechtigte Chancen für Frauen und Männer ...............................................  78 
6.3. Aufstieg durch Bildung",neutral,0.9999687671661377
"..................................................................................................  79 
 
7. Neuer Mut zur Innovation – aus Verantwortung für die Zukunft .........................  84 
7.1.",neutral,0.9999860525131226
Strategische Forschungs- und Innovationspolitik für Deutschland,neutral,0.9998525381088257
"......................  84 
7.2.",positive,0.9151010513305664
"Die besten Köpfe für unser Land .................................................................................  89 
7.3 Digitale Transformationsoffensive ..............................................................................  92 
 
8. Neue Leistungsfähigkeit für einen modernen Staat – zum Wohl der  
Bürgerinnen und Bürger .....................................................................................  95 
8.1.",neutral,0.9999598264694214
"Modernisierungsjahrzehnt für den Staat ...................................................................  95 
8.2.",neutral,0.9999098777770996
"Die Bürgerinnen und Bürger im Mittelpunkt ............................................................  99 
8.3.",neutral,0.9999855756759644
"Der öffentliche Dienst als moderner Arbeitgeber ..................................................  101 
8.4.",neutral,0.9999450445175171
Digitale Infrastruktur,neutral,0.9857211112976074
...................................................................................................,negative,0.8723633885383606
"104 
8.5. Nachhaltiger Staat ........................................................................................................  104 
 
9. Neue Stärke für mehr Sicherheit – aus Verantwortung für unsere Freiheit .........  106  
9.1.",neutral,0.9999604225158691
"Mehr Sicherheit überall und jederzeit ......................................................................  106 
9.2.",positive,0.9982619881629944
Voller Schutz für Kinder und Frauen vor Gewalt und Missbrauch ......................  108 Seite 3 von 139 9.3.,neutral,0.9999860525131226
"Kein Raum für organisierte Kriminalität ..................................................................  110 
9.4.",neutral,0.9820839166641235
"Null Toleranz gegenüber kriminellen Familienclans ..............................................  111 
9.5. Schutz unserer Demokratie vor Extremisten und Terroristen .............................  112 
9.6. Stärkung unserer Sicherheitsbehörden ....................................................................  116 
9.7.  Gefahrenabwehr im Cyberraum ................................................................................",neutral,0.9991430044174194
"117 
9.8.",positive,0.4954715073108673
Wirksamer Bevölkerungsschutz .................................................................................,neutral,0.9809865355491638
"119 
9.9.",neutral,0.9822508692741394
"Starke und bürgernahe Justiz .....................................................................................  121 
 
10.",neutral,0.9999644756317139
"Neue Lebensqualität in Stadt und Land – aus Liebe zu unserer Heimat ..............  123  
10.1.",neutral,0.9999767541885376
Gutes Wohnen in lebendigen Dörfern und Städten ...............................................,positive,0.9934932589530945
"123 
10.2.  Gleichwertige Lebensverhältnisse und wirtschaftliche Entwicklung in allen 
Regionen ........................................................................................................................  126 
10.3.",neutral,0.9999885559082031
"Stärkung von Zusammenhalt und Ehrenamt ...........................................................  132 
10.4. Integration als Fundament des Miteinanders .........................................................",neutral,0.9999908208847046
"134 
10.5. Deutschland als Kulturnation .....................................................................................  135 
10.6.",neutral,0.9998830556869507
"Eine moderne Medienlandschaft ...............................................................................  137 
10.7.",neutral,0.9996819496154785
"Engagierte Sportförderung .........................................................................................  138  
 Seite 4 von 139 Einleitung  1 
 2 
Deutschland ist ein starkes Land.",neutral,0.9999904632568359
"Das ist vor allem ein Verdienst der Bür gerinnen und Bür- 3 
ger, die jeden Tag anpacken, damit es bei uns auch morgen gut läuf t.",neutral,0.992584228515625
"Wir haben starke Be- 4 
triebe, innovative Startups und Weltmarktführer, herausragende Forsch erinnen und For- 5 
scher und eines der besten Gesundheits- und Sozialsysteme de r Welt.",neutral,0.9998546838760376
"Wir sind ein weltof- 6 
fenes und sicheres Land;",neutral,0.9848666787147522
"ein Land, das Verantwortung für Sicher heit und Frieden, Freiheit 7 
und Wohlstand in Europa und weltweit übernimmt.",neutral,0.9999591112136841
"8 
Die Corona-Krise hat unser Land und besonders Staat und Verwaltung herausgefordert und 9 
offengelegt, dass wir in einigen Bereichen schneller, besser und mu tiger werden müssen.",neutral,0.9807788133621216
"10 
Wir brauchen einen kraftvollen Neustart nach der Krise.",positive,0.9758643507957458
"Wir wollen di e 20er Jahre zu einem 11 
Modernisierungsjahrzehnt für unser Land machen.",neutral,0.9883331656455994
