Section,Sentiment,Score
Unser Zukunftsprogramm,positive,0.7251781225204468
Das Zukunftsprogramm ,neutral,0.9932529330253601
der SPD––,negative,0.5601741671562195
Wofür wir stehen. Was uns antreibt.   ,neutral,0.7196736931800842
Wonach wir streben. ,negative,0.6115959882736206
Das Zukunftsprogramm der SPD,neutral,0.9984480142593384
InhaltSeite >2,negative,0.9764851331710815
SPD-Parteivorstand 20211.0.  Zukunft. Respekt. Europa.  ................... >3,neutral,0.998537540435791
1.1.  Zukunft sichern   ........................... >4,positive,0.4840547740459442
1.2.  Respekt erneuern   ......................... >5,negative,0.9322254061698914
1.3.  Europa stärken   ........................... >6,neutral,0.9722535014152527
1.4.  Zusammenhalt wählen   ..................... >6,neutral,0.9896534085273743
2.0.  Eine lebenswerte Zukunft  ................... >8,neutral,0.9922835230827332
2.1.   Zukunftsmission I.  ,negative,0.7054760456085205
Klimaneutrales Deutschland  ................. >8,positive,0.9355120062828064
2.2.   Zukunftsmission II.  ,neutral,0.9948260188102722
Modernstes Mobilitätssystem Europas  ........ >11,positive,0.9391077160835266
2.3.   Zukunftsmission III.  ,neutral,0.9991288781166077
Digitale Souveränität in Deutschland und Europa   >13,neutral,0.9999107122421265
2.4.   Zukunftsmission IV.  ,neutral,0.9865624308586121
Update für die Gesundheit   ................. >17,negative,0.9168084859848022
2.5.   Wie wir eine zukunftsfähige Wirtschaft  ,neutral,0.995328426361084
fördern wollen  ........................... >19,neutral,0.9933496117591858
2.6.   Wie wir Wissenschaft und Forschung innovativ  ,neutral,0.9999860525131226
und  zukunftsfähig halten  ................... >21,neutral,0.9914371371269226
2.7.  Wie wir unsere Politik finanzieren wollen  ...... >22,neutral,0.9919577836990356
2.8.  Wie wir regieren wollen  .................... >25,negative,0.5464787483215332
3.0.  Eine Gesellschaft des Respekts   .............. >27,neutral,0.9990052580833435
3.1.  Arbeit wertschätzen  ....................... >27,negative,0.9145139455795288
3.2.  Berufschancen erhöhen  .................... >31,neutral,0.9953323006629944
3.3.  Solidarität erweitern  ...................... >333.4.  Alter absichern   .......................... >35,neutral,0.8505067229270935
